c0602a-s23.ufhpc
Wed Dec 17 06:13:56 PM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
[      grid] t=  10s  evals=     3  best_cv=0.82165  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.1, 'n_estimators': 1000}
[      grid] t=  24s  evals=     4  best_cv=0.82165  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.1, 'n_estimators': 1000}
[      grid] t=  34s  evals=     6  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t=  47s  evals=     7  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t=  58s  evals=     9  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t=  73s  evals=    10  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t=  85s  evals=    12  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t=  99s  evals=    13  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 121s  evals=    16  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 141s  evals=    19  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 165s  evals=    22  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 175s  evals=    24  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 189s  evals=    25  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 211s  evals=    28  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 231s  evals=    31  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 241s  evals=    33  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 254s  evals=    34  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 265s  evals=    36  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 278s  evals=    37  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 300s  evals=    40  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 321s  evals=    43  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 331s  evals=    45  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 345s  evals=    46  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 355s  evals=    48  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 368s  evals=    49  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 391s  evals=    52  best_cv=0.82818  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 1e-06, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 411s  evals=    55  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 421s  evals=    57  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
